finance_id;cost;budget;other_expenses;Investment Description;roi;Projet;Responsable;Taux de change;Projet valide
19;???;2246690.41;;Amenagement interieur et finitions (peinture, carrelage).;256110.95;ecole;Mme Garcia;1.188;True
20;;135235.11;2774.65;Achat de materiaux de construction (ciment, acier, etc.).;42752.75;Stade;Mme Dupont;1.16;False
21;2798807.8;3377991.11;79832.24;Installation des reseaux electriques et plomberie.;;Route;M. Smith;1.365;True
22;615824.12;562196.4;???;Acquisition du terrain pour le projet.;88312.22;ecole;M. Muller;1.257;True
23;451362.86;???;55103.71;;67583.13;Route;;;False
24;???;999091.38;129340.95;Achat de materiaux de construction (ciment, acier, etc.).;texte;Hopital;Mme Dupont;1.257;True
25;6088318.83;4848081.66;784281.42;Travaux de genie civil et fondation du batiment.;1103707.56;Port;M. Ali;1.405;True
26;635877.92;906721.89;41115.26;Installation de dispositifs de securite sur le chantier.;99864.53;Port;M. Ali;;True
27;5076932.61;4846675.89;436145.72;Frais de main-d'œuvre pour la construction.;187134.89;Port;Mme Garcia;1.444;True
28;380488.78;378709.94;49154.57;Achat de materiaux de construction (ciment, acier, etc.).;???;Route;;0.884;True
29;9999999999;;45655.49;Installation des reseaux electriques et plomberie.;452874.42;Stade;Mme Zhang;???;False
30;1190177.42;1269561.17;123822.05;Verification de la conformite aux normes locales de construction.;227853.41;Hopital;Mme Dupont;texte;True
31;9999999999;458977.53;;Frais de main-d'œuvre pour la construction.;???;Route;Mme Zhang;;False
32;4696481.81;???;449147.51;Construction de la structure en beton arme.;;;M. Muller;0.873;True
33;1722279.03;1395883.02;196233.61;Travaux de genie civil et fondation du batiment.;266039.83;;M. Muller;1.04;False
34;2191762.07;2576504.38;???;;259635.46;Usine;Mme Zhang;0.831;False
35;???;3878484.19;195915.78;Installation de dispositifs de securite sur le chantier.;???;Usine;Mme Garcia;???;True
36;5272949.21;4730749.6;162763.29;Frais pour les certifications et inspections de securite.;1407450.35;Pont;M. Smith;???;False
37;???;1886792.43;347309.27;Frais pour les certifications et inspections de securite.;665071.36;Route;M. Muller;0.975;True
38;1898886.11;;251526.04;Installation des reseaux electriques et plomberie.;474523.14;Route;M. Ali;1.483;True
39;3158975.24;4418939.4;357340.2;Frais de main-d'œuvre pour la construction.;391354.01;Usine;;1.405;True
40;1650009.54;1407347.98;41470.33;Frais pour les certifications et inspections de securite.;448338.37;Route;M. Ali;1.372;False
41;2162068.51;1813326.28;285361.1;Amenagement interieur et finitions (peinture, carrelage).;;Route;M. Smith;1.03;True
42;4196632.89;4837756.61;418855.2;Acquisition du terrain pour le projet.;780169.26;Stade;Mme Dupont;???;False
43;1245559.96;;58747.2;Achat de materiaux de construction (ciment, acier, etc.).;273169.05;Stade;M. Muller;1.35;False
44;3091467.56;3070423.38;197629.36;Installation des reseaux electriques et plomberie.;426671.23;ecole;M. Muller;;True
45;1398406.81;1884685.21;144026.5;Frais de main-d'œuvre pour la construction.;146523.18;Hopital;M. Muller;1.43;False
46;3016549.09;3367775.23;324608.37;Construction de la structure en beton arme.;378448.89;Usine;M. Muller;1.458;True
47;2743876.22;3116023.09;237924.83;Frais pour les certifications et inspections de securite.;441146.67;;M. Smith;1.35;False
48;2295900.39;9999999999;91648.2;Installation de dispositifs de securite sur le chantier.;594057.52;Pont;M. Muller;0.859;False
49;708817.55;557597.28;30395.23;Verification de la conformite aux normes locales de construction.;102727.6;Route;M. Ali;0.817;True
50;5249853.17;???;???;Installation de dispositifs de securite sur le chantier.;960136.21;Route;M. Muller;1.287;False
51;1623056.89;2058299.03;172477.61;Achat de materiaux de construction (ciment, acier, etc.).;414989.81;;M. Ali;1.363;False
52;???;346070.09;37856.64;Installation de dispositifs de securite sur le chantier.;37239.47;Port;M. Muller;1.172;False
53;5871977.83;4755194.08;562367.1;Construction de la structure en beton arme.;1088360.24;Port;M. Ali;1.321;False
54;2653600.74;???;338548.52;Verification de la conformite aux normes locales de construction.;671792.83;Port;M. Muller;0.967;False
55;418000.77;479668.43;20080.81;Frais de main-d'œuvre pour la construction.;57334.33;Hopital;M. Ali;0.906;False
56;3933878.13;3500354.08;74712.37;Acquisition du terrain pour le projet.;457023.32;Port;M. Smith;0.844;False
57;2333556.97;2008436.38;332412.12;Frais pour les certifications et inspections de securite.;633202.3;Usine;M. Smith;0.804;False
58;1460018.14;1563202.0;;Acquisition du terrain pour le projet.;230163.27;Route;M. Smith;0.954;False
59;2314288.91;;239858.24;Acquisition du terrain pour le projet.;450907.43;Port;M. Ali;1.487;True
60;4794485.22;???;9999999999;Achat de materiaux de construction (ciment, acier, etc.).;???;Pont;M. Smith;0.927;False
61;1618935.09;1957608.93;90269.25;Acquisition du terrain pour le projet.;171042.63;Usine;Mme Zhang;1.384;False
62;9999999999;9999999999;29935.87;Frais de main-d'œuvre pour la construction.;11357.98;Hopital;M. Muller;0.828;True
63;3895716.7;???;???;Travaux de genie civil et fondation du batiment.;575432.37;Port;M. Muller;???;True
64;2030777.55;2378666.52;125187.94;Installation des reseaux electriques et plomberie.;449714.67;Hopital;M. Ali;1.475;True
65;texte;???;;Acquisition du terrain pour le projet.;477356.22;Route;Mme Dupont;;True
66;;599316.4;???;Installation des reseaux electriques et plomberie.;???;ecole;Mme Zhang;;False
67;476652.46;437888.01;5610.82;Acquisition du terrain pour le projet.;102225.83;;M. Smith;1.473;False
68;3427787.91;3565812.35;386419.13;Verification de la conformite aux normes locales de construction.;765022.18;Port;M. Smith;1.105;False
69;9999999999;9999999999;200405.6;Verification de la conformite aux normes locales de construction.;???;Route;M. Smith;1.199;False
70;1742370.93;;???;Installation de dispositifs de securite sur le chantier.;;Immeuble;Mme Zhang;0.996;False
71;2851543.03;2823376.04;104788.22;Amenagement interieur et finitions (peinture, carrelage).;695819.08;Port;Mme Garcia;???;False
72;3246943.62;3264924.21;392914.6;Achat de materiaux de construction (ciment, acier, etc.).;515767.63;;M. Muller;0.97;False
73;2463856.04;2418976.39;171411.78;Construction de la structure en beton arme.;409390.03;;Mme Zhang;1.015;True
74;563719.85;691213.84;15072.55;Construction de la structure en beton arme.;163577.7;Pont;M. Ali;0.951;False
75;1533049.38;???;???;Installation des reseaux electriques et plomberie.;240075.14;;M. Ali;1.007;False
76;693797.48;???;58819.4;Verification de la conformite aux normes locales de construction.;75695.48;ecole;Mme Garcia;1.004;True
77;3714799.31;texte;90500.95;Frais pour les certifications et inspections de securite.;797986.6;Port;M. Smith;1.108;True
78;???;4830938.45;???;Achat de materiaux de construction (ciment, acier, etc.).;;Usine;M. Smith;0.852;True
79;;843462.33;143009.65;Achat de materiaux de construction (ciment, acier, etc.).;299059.79;;;1.335;True
80;3620918.44;3900898.34;496756.02;Verification de la conformite aux normes locales de construction.;985010.51;Usine;Mme Zhang;???;True
81;???;3087191.47;503871.91;Amenagement interieur et finitions (peinture, carrelage).;795044.11;Immeuble;M. Muller;texte;True
82;;951686.39;7356.04;Installation de dispositifs de securite sur le chantier.;168663.15;Port;Mme Zhang;0.823;False
83;3998162.34;;9999999999;Amenagement interieur et finitions (peinture, carrelage).;1138605.5;Route;M. Smith;;True
84;4075549.04;3273410.14;512412.11;Achat de materiaux de construction (ciment, acier, etc.).;texte;Immeuble;Mme Garcia;;False
85;2209559.38;2251851.9;116162.65;;???;Port;M. Smith;0.856;True
86;5085527.72;4458172.16;480683.62;Frais pour les certifications et inspections de securite.;601441.85;ecole;M. Muller;???;True
87;3091022.82;3839234.12;255488.3;Installation de dispositifs de securite sur le chantier.;875422.66;Pont;Mme Garcia;1.105;False
88;???;???;319799.09;Frais de main-d'œuvre pour la construction.;525705.06;;Mme Zhang;1.088;False
89;1916218.15;1512267.2;237417.98;Construction de la structure en beton arme.;205685.76;Hopital;Mme Zhang;???;True
90;4574830.05;4853905.16;375334.96;Frais pour les certifications et inspections de securite.;1059219.9;Port;M. Smith;0.838;False
91;3148057.12;???;226300.4;Frais pour les certifications et inspections de securite.;442968.3;Pont;Mme Zhang;1.107;False
92;892286.57;694987.81;;Amenagement interieur et finitions (peinture, carrelage).;215894.59;Immeuble;Mme Garcia;0.81;False
93;721156.23;texte;99382.67;Installation de dispositifs de securite sur le chantier.;208711.37;Pont;;1.453;False
94;2240903.04;2593472.87;284283.99;Installation de dispositifs de securite sur le chantier.;333325.77;Pont;M. Smith;0.933;True
95;3751921.71;4333731.98;452485.01;Acquisition du terrain pour le projet.;442633.15;Immeuble;Mme Dupont;???;False
96;;4203632.02;451057.28;Travaux de genie civil et fondation du batiment.;833948.6;Port;Mme Zhang;1.033;False
97;2081906.25;2331188.62;75804.98;Amenagement interieur et finitions (peinture, carrelage).;446276.44;Route;M. Smith;0.831;False
98;4219967.02;3555616.62;270293.21;Travaux de genie civil et fondation du batiment.;840050.82;ecole;M. Ali;1.152;False
99;5340757.41;4361531.54;382627.19;Construction de la structure en beton arme.;1506565.37;;M. Muller;???;True
100;545484.11;466658.42;25694.04;Installation des reseaux electriques et plomberie.;130120.28;Hopital;Mme Zhang;1.397;False
101;5138585.25;4775284.0;689810.96;Installation de dispositifs de securite sur le chantier.;1410421.43;ecole;Mme Garcia;texte;False
102;???;4987387.02;;Achat de materiaux de construction (ciment, acier, etc.).;1443329.66;Hopital;M. Smith;0.916;False
103;???;;400048.11;Verification de la conformite aux normes locales de construction.;565497.11;Usine;M. Ali;0.971;False
104;3377300.91;???;114145.04;Achat de materiaux de construction (ciment, acier, etc.).;???;Usine;Mme Garcia;1.278;False
105;3593678.09;4572862.18;267948.19;Verification de la conformite aux normes locales de construction.;???;;M. Smith;1.431;True
106;585322.14;???;86786.44;Verification de la conformite aux normes locales de construction.;133329.21;Usine;M. Muller;0.975;False
107;1001709.96;1076163.3;77781.91;Amenagement interieur et finitions (peinture, carrelage).;176574.28;Stade;Mme Garcia;1.007;False
108;248594.5;207504.03;16261.26;Frais pour les certifications et inspections de securite.;52996.82;ecole;Mme Garcia;1.322;False
109;3269424.73;???;399754.11;Amenagement interieur et finitions (peinture, carrelage).;743217.32;Immeuble;M. Muller;1.329;True
110;3947726.51;3178415.71;396697.9;Verification de la conformite aux normes locales de construction.;1017416.35;;;;True
111;475066.05;541653.54;54465.05;Travaux de genie civil et fondation du batiment.;???;Stade;Mme Garcia;1.151;False
112;3561354.75;4169315.84;446795.36;Installation de dispositifs de securite sur le chantier.;1045175.05;Immeuble;M. Muller;1.409;True
113;1784573.89;2394823.81;206263.21;Amenagement interieur et finitions (peinture, carrelage).;485454.28;Usine;Mme Garcia;1.056;False
114;171892.32;texte;12663.31;Verification de la conformite aux normes locales de construction.;37285.51;Stade;Mme Dupont;1.272;False
115;273943.98;222620.78;24270.62;Installation des reseaux electriques et plomberie.;39522.84;Hopital;M. Muller;1.377;False
116;2526598.68;3281273.29;???;Frais pour les certifications et inspections de securite.;406461.3;Port;Mme Dupont;0.868;True
117;1849240.6;2004364.57;264281.09;Construction de la structure en beton arme.;???;Pont;M. Smith;;False
118;3937732.77;3116695.85;193593.2;Frais de main-d'œuvre pour la construction.;220797.98;Port;M. Ali;???;True
119;4515989.56;???;615246.99;;168292.92;Immeuble;M. Ali;1.478;False
120;454332.93;549199.78;45219.31;Frais pour les certifications et inspections de securite.;50029.19;Stade;M. Ali;1.492;True
121;505585.11;???;19718.85;Amenagement interieur et finitions (peinture, carrelage).;132772.01;Route;Mme Zhang;1.342;True
122;1882262.39;1458646.75;279052.59;Construction de la structure en beton arme.;282585.63;Pont;Mme Dupont;1.263;True
123;682399.03;745835.82;;;112428.17;Pont;Mme Zhang;0.837;False
124;3072527.38;2677819.08;235584.3;Frais de main-d'œuvre pour la construction.;;Hopital;M. Smith;1.153;True
125;4561965.49;3663490.69;466444.69;Verification de la conformite aux normes locales de construction.;874111.38;ecole;Mme Dupont;;False
126;1673898.78;2188740.73;183687.26;Installation de dispositifs de securite sur le chantier.;;Hopital;Mme Zhang;1.226;True
127;771920.03;718338.78;70978.86;Frais de main-d'œuvre pour la construction.;???;Immeuble;M. Smith;1.154;False
128;656917.01;585974.46;9999999999;Construction de la structure en beton arme.;160398.1;Route;M. Smith;???;True
129;2545673.78;2127686.5;167561.91;Achat de materiaux de construction (ciment, acier, etc.).;413696.61;Stade;M. Muller;0.978;True
130;3411919.47;3465423.07;???;Achat de materiaux de construction (ciment, acier, etc.).;404810.67;Hopital;M. Muller;1.317;True
131;;2826216.6;263459.14;Frais de main-d'œuvre pour la construction.;328206.05;Usine;Mme Zhang;1.412;False
132;4931104.23;4353651.53;717849.48;Installation des reseaux electriques et plomberie.;801254.04;Hopital;Mme Garcia;1.155;True
133;2769033.26;3318007.88;;Construction de la structure en beton arme.;;Immeuble;Mme Garcia;0.958;False
134;???;4241260.29;678818.38;Installation des reseaux electriques et plomberie.;1280458.06;ecole;Mme Garcia;1.45;False
135;208967.06;241870.59;24394.26;Frais de main-d'œuvre pour la construction.;15071.29;Pont;M. Ali;1.196;False
136;504724.43;440968.56;73716.74;Achat de materiaux de construction (ciment, acier, etc.).;;Route;M. Smith;1.094;False
137;772832.62;;42825.44;Installation des reseaux electriques et plomberie.;169439.5;ecole;M. Ali;0.91;True
138;2937201.93;;301566.68;Installation de dispositifs de securite sur le chantier.;650341.16;Usine;Mme Zhang;0.951;True
139;1373128.13;1791346.99;144110.49;Installation des reseaux electriques et plomberie.;270954.64;Immeuble;Mme Dupont;0.954;True
140;121263.95;???;4798.75;Travaux de genie civil et fondation du batiment.;;Immeuble;Mme Zhang;texte;False
141;3028664.83;3760369.2;191499.58;Amenagement interieur et finitions (peinture, carrelage).;605891.88;Stade;Mme Dupont;1.078;True
142;???;2237476.02;45635.71;Frais de main-d'œuvre pour la construction.;;Usine;M. Muller;1.248;False
143;473358.3;664349.53;???;Installation des reseaux electriques et plomberie.;texte;Stade;Mme Dupont;;True
144;1361157.12;1292250.73;???;Acquisition du terrain pour le projet.;305041.96;Stade;M. Ali;1.033;True
145;512168.74;474258.95;43167.98;Amenagement interieur et finitions (peinture, carrelage).;144013.93;Stade;Mme Zhang;1.309;True
146;;1257717.36;37276.23;Installation des reseaux electriques et plomberie.;???;Hopital;;1.466;False
147;2464130.77;???;224545.23;Installation des reseaux electriques et plomberie.;563296.27;Stade;M. Muller;1.021;False
148;419532.75;434602.67;21981.36;Verification de la conformite aux normes locales de construction.;91577.27;Stade;Mme Garcia;???;False
149;1699063.6;???;???;Achat de materiaux de construction (ciment, acier, etc.).;???;Hopital;Mme Garcia;1.216;False
150;2444436.6;2367287.13;;Frais pour les certifications et inspections de securite.;464312.77;Route;Mme Zhang;;True
151;4650558.68;???;???;Frais de main-d'œuvre pour la construction.;687753.78;Hopital;Mme Garcia;1.252;True
152;1264874.96;1313944.25;;Construction de la structure en beton arme.;280753.01;Stade;Mme Zhang;1.443;False
153;1899024.62;2102970.05;177946.24;Frais de main-d'œuvre pour la construction.;71990.93;Hopital;Mme Garcia;1.275;False
154;1616337.38;1334779.35;234397.05;Installation des reseaux electriques et plomberie.;443936.65;Stade;Mme Dupont;1.208;True
155;4069201.55;???;414438.66;Acquisition du terrain pour le projet.;9999999999;Hopital;Mme Zhang;1.191;False
156;4501520.46;4084605.44;567435.81;Construction de la structure en beton arme.;534288.13;Usine;Mme Garcia;1.053;False
157;???;1613443.74;118589.07;Installation de dispositifs de securite sur le chantier.;283750.59;Pont;M. Ali;???;True
158;???;2587679.59;300472.05;Construction de la structure en beton arme.;284944.65;Stade;Mme Garcia;0.892;False
159;691951.94;???;74037.74;Installation des reseaux electriques et plomberie.;181159.07;Pont;M. Muller;???;False
160;2133427.37;1885067.13;310930.83;Installation des reseaux electriques et plomberie.;334917.35;Port;;1.174;False
161;5655771.36;4831423.52;772331.82;Amenagement interieur et finitions (peinture, carrelage).;981662.01;Port;M. Smith;1.339;False
162;2439098.76;2564242.79;79729.61;Amenagement interieur et finitions (peinture, carrelage).;634779.95;Pont;Mme Zhang;0.837;False
163;4526609.94;4383173.03;110279.82;Construction de la structure en beton arme.;1223240.33;Immeuble;Mme Dupont;1.334;False
164;2320104.29;2301664.18;293137.15;Achat de materiaux de construction (ciment, acier, etc.).;671165.92;Route;M. Smith;1.419;True
165;2000476.95;2132994.84;124738.96;Acquisition du terrain pour le projet.;497928.86;Stade;M. Ali;texte;True
166;4590941.2;4211963.81;554554.89;Travaux de genie civil et fondation du batiment.;494263.66;Port;M. Muller;1.382;False
167;1615943.87;2298147.22;34082.85;Verification de la conformite aux normes locales de construction.;231291.58;Pont;Mme Garcia;1.458;False
168;;644815.62;???;Frais pour les certifications et inspections de securite.;83123.83;Port;;0.878;False
169;2146635.43;3024021.31;176351.69;Amenagement interieur et finitions (peinture, carrelage).;;;M. Smith;0.801;False
170;???;1278764.77;;Achat de materiaux de construction (ciment, acier, etc.).;???;Stade;Mme Dupont;9999999999;True
171;1977148.44;2013223.29;;Frais de main-d'œuvre pour la construction.;119494.96;ecole;;1.352;False
172;texte;1281517.03;34374.9;Installation des reseaux electriques et plomberie.;346424.55;Stade;M. Ali;;False
173;3289604.23;4086193.44;;Installation de dispositifs de securite sur le chantier.;???;;M. Muller;0.928;True
174;477001.68;???;35333.97;Verification de la conformite aux normes locales de construction.;66932.02;Route;;;False
175;3395859.25;2625379.59;;Verification de la conformite aux normes locales de construction.;???;Route;Mme Zhang;;True
176;3904500.25;4342411.56;;Frais de main-d'œuvre pour la construction.;321864.22;Usine;M. Muller;1.108;False
177;1430318.04;1761279.48;152886.11;Frais de main-d'œuvre pour la construction.;201556.49;Immeuble;Mme Dupont;1.309;True
178;2866467.79;texte;101082.86;Verification de la conformite aux normes locales de construction.;470795.22;Hopital;Mme Zhang;1.263;False
179;2583401.42;???;86105.46;Installation de dispositifs de securite sur le chantier.;439977.54;ecole;M. Muller;1.409;False
180;2991263.02;3112772.26;297707.56;Frais pour les certifications et inspections de securite.;;;Mme Zhang;1.159;True
181;???;4768668.04;356151.46;Installation de dispositifs de securite sur le chantier.;400734.32;Hopital;M. Ali;1.345;False
182;2380063.72;1874537.85;34591.72;Travaux de genie civil et fondation du batiment.;561248.57;Stade;Mme Zhang;1.111;True
183;???;2912216.71;194788.02;Verification de la conformite aux normes locales de construction.;444323.74;Hopital;;???;False
184;???;2636951.84;texte;Verification de la conformite aux normes locales de construction.;792557.13;Route;Mme Garcia;1.0;False
185;???;1080873.87;17202.92;Travaux de genie civil et fondation du batiment.;;Port;Mme Dupont;1.367;False
186;3796409.45;;330286.11;Verification de la conformite aux normes locales de construction.;1056412.95;;M. Muller;1.297;True
187;4010068.87;3989112.28;;;1036254.47;Route;M. Smith;0.818;False
188;3083011.4;2390288.61;86842.18;Achat de materiaux de construction (ciment, acier, etc.).;348841.57;Usine;M. Muller;1.303;False
189;;3868906.3;93891.56;Frais de main-d'œuvre pour la construction.;;Port;M. Smith;1.276;False
190;;728839.59;76087.29;Installation des reseaux electriques et plomberie.;119034.76;Pont;M. Smith;1.152;True
191;4219147.92;4173814.95;???;;694185.48;Route;Mme Zhang;1.463;False
192;???;4245075.16;357043.58;Construction de la structure en beton arme.;559131.29;Immeuble;Mme Garcia;1.173;True
193;3145018.37;2999861.38;106830.26;Installation des reseaux electriques et plomberie.;767782.5;Stade;Mme Garcia;0.829;True
194;texte;497991.99;74541.9;Verification de la conformite aux normes locales de construction.;;Usine;Mme Garcia;1.247;False
195;4577943.0;4456084.72;457185.53;Verification de la conformite aux normes locales de construction.;899973.07;Usine;;1.117;True
196;830316.15;874594.19;62291.9;Frais de main-d'œuvre pour la construction.;85355.86;Stade;M. Muller;1.024;False
197;3798364.24;???;235026.17;Construction de la structure en beton arme.;460501.48;Route;M. Smith;0.886;False
198;996734.69;1314802.52;50464.36;;222105.15;Usine;M. Ali;1.474;True
199;???;???;571371.18;Amenagement interieur et finitions (peinture, carrelage).;???;Port;Mme Garcia;1.127;False
200;1913058.95;2537114.34;124451.96;Installation de dispositifs de securite sur le chantier.;561171.6;Route;Mme Garcia;1.047;True
201;1565163.51;1478646.06;;;245964.94;ecole;Mme Dupont;???;False
202;4244977.21;3664789.51;259925.17;Acquisition du terrain pour le projet.;;Route;Mme Zhang;1.187;True
203;1933739.75;1993109.24;168196.67;Installation des reseaux electriques et plomberie.;???;Hopital;M. Ali;1.483;False
204;2491984.05;???;9999999999;;texte;Route;Mme Garcia;1.156;True
205;251864.81;321986.43;14262.02;Installation de dispositifs de securite sur le chantier.;51346.81;Pont;Mme Garcia;1.425;True
206;1822839.23;;59698.51;Installation des reseaux electriques et plomberie.;???;Immeuble;Mme Garcia;1.035;False
207;3143637.08;3572825.05;390454.93;Frais de main-d'œuvre pour la construction.;???;Hopital;M. Smith;1.209;True
208;2599314.96;3024857.12;???;Installation des reseaux electriques et plomberie.;560222.24;ecole;Mme Garcia;1.136;False
209;913463.3;824100.97;???;Achat de materiaux de construction (ciment, acier, etc.).;???;Port;Mme Zhang;1.093;False
210;3296133.72;;390579.06;;904998.15;ecole;M. Muller;0.897;True
211;3699640.72;;284768.51;Acquisition du terrain pour le projet.;417136.41;Pont;M. Smith;???;False
212;3069743.43;2776738.77;403584.13;Verification de la conformite aux normes locales de construction.;texte;Route;M. Ali;0.995;False
213;1542868.64;9999999999;???;Verification de la conformite aux normes locales de construction.;???;Port;Mme Zhang;1.136;False
214;1576745.33;1510167.94;135673.77;Acquisition du terrain pour le projet.;336911.83;Pont;;;True
215;1735044.88;1797181.22;79642.3;Installation de dispositifs de securite sur le chantier.;247759.83;Immeuble;Mme Garcia;texte;True
216;727020.1;635210.25;31625.0;Frais pour les certifications et inspections de securite.;170098.56;Route;M. Muller;0.963;True
217;2402331.25;???;57839.22;Travaux de genie civil et fondation du batiment.;242722.64;Pont;M. Smith;1.257;False
218;1999591.87;???;289836.77;;;ecole;Mme Dupont;1.257;True
219;???;2722246.16;???;Travaux de genie civil et fondation du batiment.;566642.51;Pont;Mme Dupont;1.498;False
220;3215493.98;3961007.09;texte;Verification de la conformite aux normes locales de construction.;885381.87;ecole;Mme Zhang;1.198;True
221;4189252.79;4649428.75;308366.17;Construction de la structure en beton arme.;858225.86;Pont;Mme Garcia;1.128;True
222;???;9999999999;410148.06;Verification de la conformite aux normes locales de construction.;889676.74;ecole;M. Muller;1.036;False
223;3327041.08;2882127.99;115013.44;Acquisition du terrain pour le projet.;716637.88;Stade;Mme Dupont;1.081;True
224;788624.58;1005427.89;43614.28;Amenagement interieur et finitions (peinture, carrelage).;79939.74;Usine;M. Ali;1.113;False
225;4207372.72;???;467874.8;Frais pour les certifications et inspections de securite.;640827.59;Stade;M. Muller;;True
226;1894422.18;2380435.46;200904.05;Verification de la conformite aux normes locales de construction.;450982.5;Immeuble;Mme Zhang;1.23;True
227;4728347.45;4791066.63;348465.09;Installation des reseaux electriques et plomberie.;826160.36;Port;Mme Garcia;1.361;True
228;;3833112.14;396811.07;Achat de materiaux de construction (ciment, acier, etc.).;871244.74;Stade;Mme Dupont;1.442;True
229;414125.0;402614.43;;Installation des reseaux electriques et plomberie.;85861.38;Pont;Mme Zhang;1.398;False
230;551222.43;669576.11;50514.4;Achat de materiaux de construction (ciment, acier, etc.).;154219.84;Port;Mme Dupont;1.117;False
231;1717822.75;;128377.98;Verification de la conformite aux normes locales de construction.;420275.67;Usine;Mme Zhang;???;True
232;2133328.34;2933725.2;???;Achat de materiaux de construction (ciment, acier, etc.).;;ecole;;1.49;False
233;241530.12;255500.87;28417.49;Acquisition du terrain pour le projet.;9999999999;Usine;M. Smith;1.409;False
234;2153433.96;1940663.12;221052.05;Construction de la structure en beton arme.;???;Stade;Mme Dupont;0.925;False
235;3059273.1;2691328.44;125970.56;Frais pour les certifications et inspections de securite.;768599.18;Immeuble;;???;False
236;3231574.78;???;;Frais de main-d'œuvre pour la construction.;157101.6;Route;M. Muller;1.336;True
237;;4066443.1;453677.54;Frais pour les certifications et inspections de securite.;573186.98;Hopital;Mme Dupont;???;False
238;3398616.26;3029145.99;57146.66;Frais pour les certifications et inspections de securite.;???;Route;Mme Garcia;0.952;True
239;1019587.81;786664.32;43620.63;Installation des reseaux electriques et plomberie.;166988.85;Stade;;1.011;True
240;4992767.7;texte;339001.08;Verification de la conformite aux normes locales de construction.;560146.23;Pont;;1.275;False
241;298951.23;329732.08;9999999999;Acquisition du terrain pour le projet.;61931.01;Stade;M. Muller;1.091;True
242;1271771.25;1569453.62;108494.75;Amenagement interieur et finitions (peinture, carrelage).;???;Immeuble;M. Muller;0.901;False
243;;4582231.75;691623.68;Construction de la structure en beton arme.;979265.1;Usine;M. Ali;???;False
244;4096977.15;3268858.67;526865.83;Achat de materiaux de construction (ciment, acier, etc.).;848595.03;Route;Mme Dupont;0.988;True
245;3561094.88;???;415357.2;Construction de la structure en beton arme.;510672.77;Route;Mme Zhang;1.012;True
246;926232.66;1137858.08;105411.32;Installation de dispositifs de securite sur le chantier.;262020.34;Route;M. Smith;1.441;False
247;3620765.21;3900018.02;306718.71;Frais de main-d'œuvre pour la construction.;242629.92;Stade;Mme Garcia;1.418;False
248;9999999999;583180.33;56917.48;Frais de main-d'œuvre pour la construction.;???;Stade;Mme Zhang;1.09;True
249;2648816.59;3732136.66;231675.08;Installation des reseaux electriques et plomberie.;571690.34;Usine;Mme Zhang;???;False
250;1278474.13;???;56767.07;Construction de la structure en beton arme.;;Stade;Mme Zhang;???;False
251;???;4835890.51;;Travaux de genie civil et fondation du batiment.;1293676.57;Stade;M. Ali;0.898;False
252;1235881.29;1001834.09;183707.94;Frais pour les certifications et inspections de securite.;???;Hopital;M. Muller;0.834;True
253;2556587.14;2120721.89;108401.02;Travaux de genie civil et fondation du batiment.;260332.9;Port;Mme Zhang;0.842;False
